username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TACinforma;2016-06-09 20:39;0;0;"# MaduroSaqueaAVenezuela RT @ paolucci40: [VIDEO] # ElLlanito 9-6-2016 Saqueos hoy mismo. Hay Hambre mientras # Maduro… http://ift.tt/1Z5WZL2";;@;# # #;"741067189063692288";https://twitter.com/TACinforma/status/741067189063692288
_carroja;2016-06-09 19:51;0;0;"RT Decepticon_01: RT paolucci40: [VIDEO] # ElLlanito 9-6-2016 Saqueos hoy mismo. Hay Hambre mientras # MaduroSaqueaA…pic.twitter.com/ErPjCeoRxg";;;# #;"741055109476585472";https://twitter.com/_carroja/status/741055109476585472
_vikyro;2016-06-09 19:48;1;1;"RT Decepticon_01: RT paolucci40: [VIDEO] # ElLlanito 9-6-2016 Saqueos hoy mismo. Hay Hambre mientras # MaduroSaqueaA…pic.twitter.com/0DqGyo2FvZ";;;# #;"741054423754002432";https://twitter.com/_vikyro/status/741054423754002432
ColirioMediatic;2016-06-09 19:48;3;0;"RT Decepticon_01: RT paolucci40: [VIDEO] # ElLlanito 9-6-2016 Saqueos hoy mismo. Hay Hambre mientras # MaduroSaqueaA…pic.twitter.com/6QrujE13D1";;;# #;"741054337544261632";https://twitter.com/ColirioMediatic/status/741054337544261632
PedroVzla123;2016-06-09 19:42;0;0;"# D RT Decepticon_01: RT paolucci40: [VIDEO] # ElLlanito 9-6-2016 Saqueos hoy mismo. Hay Hambre mientras # MaduroSaqu…pic.twitter.com/yxhXAtx7D8";;;# # #;"741052962051661825";https://twitter.com/PedroVzla123/status/741052962051661825
Decepticon_01;2016-06-09 19:29;8;0;"RT @ paolucci40: [VIDEO] # ElLlanito 9-6-2016 Saqueos hoy mismo. Hay Hambre mientras # MaduroSaqueaAVenezuelapic.twitter.com/9xHpxA5sGL";;@;# #;"741049710828486657";https://twitter.com/Decepticon_01/status/741049710828486657
elpapa_pitufox;2016-06-09 19:28;13;1;"[VIDEO] # ElLlanito 9-6-2016 Saqueos hoy mismo. Hay Hambre mientras # MaduroSaqueaAVenezuelapic.twitter.com/NZmXJqHTii";;;# #;"741049375036735488";https://twitter.com/elpapa_pitufox/status/741049375036735488
dj_stone_ccs;2016-06-09 19:07;1;0;"Saqueo de camion en el Elevado de Palo Verde cerca de la redoma de Petare... # paloverde # petare # elllanito https://youtu.be/Vjh6FBQ66U8";;;# # #;"741044053677072384";https://twitter.com/dj_stone_ccs/status/741044053677072384
JoemilGonzalez;2016-06-09 19:00;0;0;"# 9J 4:09pm. Caos en # ElLlanito se solto el moño los colectivos atracando y disparando a ciudadanos ¿TSJ? https://twitter.com/VVperiodistas/status/740999865719742464/video/1 …";;;# #;"741042287795437568";https://twitter.com/JoemilGonzalez/status/741042287795437568
jegandica;2016-06-09 18:29;0;0;"Retweeted Noticias Venezuela ( @ NoticiasVenezue): # 9Jun 4:21pm # ElLlanito Saqueos ahora mismo. Caracas Vía... http://fb.me/2Vau4I7vh";;@;# #;"741034434913148928";https://twitter.com/jegandica/status/741034434913148928
