,0,1
0,436983217590370304,
1,436990112531218432,
2,436951795492200448,http://pbs.twimg.com/media/BhBctKnIAAAHRpE.jpg
3,436978395680083968,
4,436955519707017216,
5,436993962076012544,http://pbs.twimg.com/media/BhB1uPaIgAEcQCf.jpg
6,436998329742802944,
7,436998291050352640,
8,436976447148662784,
9,436956364494372864,
10,436999479170838528,
11,436978882181603328,
12,436936790436753408,
13,436982164366688256,
14,436990838372302848,http://pbs.twimg.com/media/BhCA2iNIgAExl5J.jpg
15,436923809493303296,
16,436943540099485696,
17,436936005170786304,
18,436924291725025280,
19,436988561486000128,
20,436974889824952320,
21,436932516260220928,
22,436976040280592384,
23,436999609269755904,
24,436937334659891200,
25,437006391698399232,
26,436993931641769984,
27,437002960686829568,
28,436951095035056128,http://pbs.twimg.com/media/BhBctKnIAAAHRpE.jpg
29,436927772536340480,
30,437010405773557760,
31,436990812568973312,
32,436954706242715648,
33,436966293217247232,
34,436927139342852096,
35,436955997744402432,http://pbs.twimg.com/media/BhBctKnIAAAHRpE.jpg
36,436954823117000704,
37,436985533521076224,
38,437004062975070208,
39,436949782800924672,
40,436964523124088832,
41,436928085351350272,
42,436947813579366400,
43,436975586008121344,
44,436992444102893568,
45,437012285312491520,
46,436928791969931264,
47,436928340159500288,
48,436937073459990528,
49,436983769850204160,
50,436977800151826432,
51,436972283723542528,
52,436990624039198720,
53,436968175834763264,
54,436992133661458432,
55,436978311374200832,
56,436928050127581184,
57,436959756117614592,http://pbs.twimg.com/media/BhBctKnIAAAHRpE.jpg
58,437001912831860736,
59,436996841637281792,
60,436937387252654080,
61,436959558548721664,
62,436998949275062272,http://pbs.twimg.com/media/BhCIOqMCUAAPFnu.jpg
63,437003856812068864,
64,436952243137683456,
65,436965006945828864,http://pbs.twimg.com/media/BhBctKnIAAAHRpE.jpg
66,436956232315068416,
67,436974706923954176,
68,436977309615419392,
69,436927324357816320,
70,436994413408309248,http://pbs.twimg.com/media/BhB1uPaIgAEcQCf.jpg
71,436967627203051520,
72,436993486865596416,
73,436993933105967104,http://pbs.twimg.com/media/BhB1uPaIgAEcQCf.jpg
74,436954018540421120,
75,436995533035819008,
76,436931544033538048,
77,436944172566986752,
78,436959327073861632,
79,436939080379953152,
80,436994610754506752,http://pbs.twimg.com/media/BhB1uPaIgAEcQCf.jpg
81,436978784101990400,
82,436893217393770496,
83,436894113674575872,
84,436878284484542464,
85,436887031659397120,
86,436882960185188352,http://pbs.twimg.com/media/BhAevNLCYAArrbZ.png
87,436908342347567104,
88,436918859229302784,
89,436906240703463424,
90,436911006108119040,
91,436920182104023040,
92,436896038046420992,
93,436914098261864448,
94,436919662467485696,
95,436892036453924864,
96,436898215670337536,
97,436895932576067584,
98,436921082097172480,
99,436875042383593472,
100,436913645235478528,
101,436902150455955456,
102,436918848265007104,http://pbs.twimg.com/media/BhA_YKsCMAATs9W.jpg
103,436878377178632192,
104,436909060525670400,
105,436909186140880896,
106,436911592668950528,
107,436910823794302976,
108,436912803161440256,
109,436888529327513600,
110,436907901647867904,
111,436921094747197440,
112,436879123756384256,
113,436877476892274688,
114,436904175797305344,
115,436908338287108096,
116,436891568289902592,
117,436898962373480448,
118,436905137970630656,
119,436887776232235008,
120,436912013650833408,
121,436916386687123456,
122,436911580383838208,
123,436883600718315520,
124,436921082482671616,
125,436874575432142848,
126,436922812817608704,
127,436922870833635328,
