,0,1
0,868249186118062080,
1,868221599039848448,http://pbs.twimg.com/media/DAyKtIAXgAA4rBg.jpg
2,868242847543066624,http://pbs.twimg.com/media/DAssna3XgAABWy9.jpg
3,868183799011708928,
4,868150121170599936,
5,868187489051320320,http://pbs.twimg.com/ext_tw_video_thumb/867941106008432640/pu/img/K15hx_4hEqjPr2iY.jpg
6,868143108818644992,http://pbs.twimg.com/tweet_video_thumb/DAxDhvPVoAE4LSw.jpg
7,868186217321549824,
8,868152629469343744,
9,868142959111352320,http://pbs.twimg.com/media/DAxDWqqUAAEkATE.jpg
10,868224595396104192,http://pbs.twimg.com/media/DAyNmCuWsAEzHdZ.jpg
11,868204257870315520,
12,868230622321528832,
13,868180151640707072,
14,868234671607472128,
15,868181466655715328,
16,868209950471925760,http://pbs.twimg.com/ext_tw_video_thumb/867231130243784704/pu/img/-g2RaM-P2gGJXlcC.jpg
17,868235216783114240,
18,868166962345648128,
19,868249468004700160,
20,868153388860674048,
21,868199484265771008,
22,868181102317490176,
23,868182241792462848,
24,868142546739920896,
25,868143324561108992,http://pbs.twimg.com/media/DAxDq_-V0AAZYA_.jpg
26,868186321931702272,
27,868172383827369984,http://pbs.twimg.com/media/DAsWsf7XYAALJCu.jpg
28,868232946175676416,
29,868167385336958976,
30,868255302138957824,
31,868152512448253952,
32,868156161937244160,
33,868199873992163328,
34,868155824245485568,http://pbs.twimg.com/media/DAxO8GrXcAAbjIR.jpg
35,868155845212766208,
36,868168532105625600,
37,868242224106151936,
38,868181421223018496,
39,868178593096007680,
40,868236766003822592,
41,868251139778781184,
42,868155104863584256,
43,868229501263777792,
44,868233454697185280,
45,868207618157891584,
46,868167643639029760,
47,868247879860834304,http://pbs.twimg.com/media/DAscj-6WAAEpYee.jpg
48,868178229638701056,
49,868180300681146368,
50,868187552418852864,http://pbs.twimg.com/media/DAnUOeVXYAA0z6z.png
51,868252134470541312,
52,868153589453258752,
53,868176647866003456,
54,868217771657760768,
55,868171254544683008,
56,868151169952219136,
57,868178475974316032,
58,868053770139295744,
59,868019289219059712,
60,868077842302685184,
61,868039083431534592,
62,868041971138523136,
63,868019287541284864,
64,868047971824390144,
65,868140741377347584,
66,868119159703580672,
67,868038138110914560,
68,868138479275913216,http://pbs.twimg.com/media/DArFkf1XcAA_Rdt.jpg
69,868009889251164160,
70,868075242912133120,
71,868074247939215360,http://pbs.twimg.com/media/DAssXq0XkAAQRLY.jpg
72,868110804096253952,
