,0,1
0,436983217590370304,
1,436990112531218432,
2,436951795492200448,http://pbs.twimg.com/media/BhBctKnIAAAHRpE.jpg
3,436978395680083968,
4,436955519707017216,
5,436993962076012544,http://pbs.twimg.com/media/BhB1uPaIgAEcQCf.jpg
6,436998329742802944,
7,436998291050352640,
8,436976447148662784,
9,436956364494372864,
10,436999479170838528,
11,436978882181603328,
12,436936790436753408,
13,436982164366688256,
14,436990838372302848,http://pbs.twimg.com/media/BhCA2iNIgAExl5J.jpg
15,436923809493303296,
16,436943540099485696,
17,436936005170786304,
18,436924291725025280,
19,436988561486000128,
20,436974889824952320,
21,436932516260220928,
22,436976040280592384,
23,436999609269755904,
24,436937334659891200,
25,437006391698399232,
26,436993931641769984,
27,437002960686829568,
28,436951095035056128,http://pbs.twimg.com/media/BhBctKnIAAAHRpE.jpg
29,436927772536340480,
30,437010405773557760,
31,436990812568973312,
32,436954706242715648,
33,436966293217247232,
34,436927139342852096,
35,436955997744402432,http://pbs.twimg.com/media/BhBctKnIAAAHRpE.jpg
36,436954823117000704,
37,436985533521076224,
38,437004062975070208,
39,436949782800924672,
40,436964523124088832,
41,436928085351350272,
42,436947813579366400,
43,436975586008121344,
44,436992444102893568,
45,437012285312491520,
46,436928791969931264,
47,436928340159500288,
48,436937073459990528,
49,436977800151826432,
50,436972283723542528,
51,436990624039198720,
52,436968175834763264,
53,436992133661458432,
54,436978311374200832,
55,436928050127581184,
56,436959756117614592,http://pbs.twimg.com/media/BhBctKnIAAAHRpE.jpg
57,437001912831860736,
58,436996841637281792,
59,436937387252654080,
60,436959558548721664,
61,436998949275062272,http://pbs.twimg.com/media/BhCIOqMCUAAPFnu.jpg
62,437003856812068864,
63,436952243137683456,
64,436965006945828864,http://pbs.twimg.com/media/BhBctKnIAAAHRpE.jpg
65,436956232315068416,
66,436974706923954176,
67,436977309615419392,
68,436927324357816320,
69,436994413408309248,http://pbs.twimg.com/media/BhB1uPaIgAEcQCf.jpg
70,436967627203051520,
71,436993486865596416,
72,436993933105967104,http://pbs.twimg.com/media/BhB1uPaIgAEcQCf.jpg
73,436954018540421120,
74,436995533035819008,
75,436931544033538048,
76,436944172566986752,
77,436959327073861632,
78,436939080379953152,
79,436994610754506752,http://pbs.twimg.com/media/BhB1uPaIgAEcQCf.jpg
80,436978784101990400,
81,436893217393770496,
82,436894113674575872,
83,436878284484542464,
84,436887031659397120,
85,436882960185188352,http://pbs.twimg.com/media/BhAevNLCYAArrbZ.png
86,436908342347567104,
87,436918859229302784,
88,436906240703463424,
89,436911006108119040,
90,436920182104023040,
91,436896038046420992,
92,436914098261864448,
93,436919662467485696,
94,436892036453924864,
95,436898215670337536,
96,436895932576067584,
97,436921082097172480,
98,436875042383593472,
99,436913645235478528,
100,436902150455955456,
101,436918848265007104,http://pbs.twimg.com/media/BhA_YKsCMAATs9W.jpg
102,436878377178632192,
103,436909060525670400,
104,436909186140880896,
105,436911592668950528,
106,436910823794302976,
107,436912803161440256,
108,436888529327513600,
109,436907901647867904,
110,436921094747197440,
111,436879123756384256,
112,436877476892274688,
113,436904175797305344,
114,436908338287108096,
115,436891568289902592,
116,436898962373480448,
117,436905137970630656,
118,436887776232235008,
119,436912013650833408,
120,436916386687123456,
121,436911580383838208,
122,436883600718315520,
123,436921082482671616,
124,436874575432142848,
125,436922812817608704,
126,436922870833635328,
