,0,1
0,866261030451761152,http://pbs.twimg.com/media/DAWTzgHXgAAo7Z7.jpg
1,866094841733763072,http://pbs.twimg.com/media/DAT7DZgW0AAhGAB.jpg
2,869177894161002496,
3,866775367159336960,
4,866287150320439296,
5,866712378326618112,
6,867089620936380416,
7,866091072799330304,
8,866117208434454528,
9,866706639524691968,
10,867080625706201088,
11,866770611988725760,
12,866141081670496256,http://pbs.twimg.com/media/DAUmp7BXUAEqLwW.jpg
13,866277298676391936,
14,866157590484537344,
15,866116327626465280,http://pbs.twimg.com/media/DAUQLagWAAAuuJ5.jpg
16,866778896531935232,
17,867090124202442752,
18,866332712784863232,
19,866096239087112192,http://pbs.twimg.com/media/DAT98CHWAAItftB.jpg
20,866141316710879232,
21,866201792396316672,http://pbs.twimg.com/tweet_video_thumb/DAVd8E0WsAAzLjl.jpg
22,866704731472875520,
23,866123204380831744,http://pbs.twimg.com/media/DAUWA1BXsAAawXq.jpg
24,866261114732109824,http://pbs.twimg.com/media/DAWT37jXsAAgY-U.jpg
25,866318622758653952,http://pbs.twimg.com/media/DAUpTRBXsAE8Qhz.jpg
26,866293792684560384,
27,866134489419964416,
28,867091632600088576,
29,866277430004260864,http://pbs.twimg.com/ext_tw_video_thumb/866277366296981504/pu/img/d-rO3re4nlXTZ4-x.jpg
30,867076824337133568,http://pbs.twimg.com/media/DAgxXTDWAAMycNU.jpg
31,866097198190268416,
32,866124879174803456,
33,866767939999064064,
34,866332404297936896,
35,867079980643176448,
36,866706211701436416,
37,866252631181856768,
38,867084207163666432,
39,867075964823625728,
40,866137991298678784,http://pbs.twimg.com/ext_tw_video_thumb/866137442524508160/pu/img/AISFHpn4V2Yc5twH.jpg
41,867083545264754688,
42,866110067594190848,http://pbs.twimg.com/media/DAUKe0EWsAE6UH3.jpg
43,867082926097412096,
44,866352715374501888,
45,866096009520304128,
46,866779063997931520,
47,866128623346102272,
48,866092861284134912,
49,867192351621603328,
50,866704639651196928,
51,866116519499091968,
52,867080953591738368,
53,866767788475592704,
54,866769327223164928,
55,866146536853561344,
56,866266768553254912,http://pbs.twimg.com/media/DAWY9M9XkAAAvdc.jpg
57,866774637614702592,
58,866114060387053568,http://pbs.twimg.com/media/DAUOEcOXcAAr1vl.jpg
59,866116062705848320,
60,867080177704198144,
61,866145561686179840,http://pbs.twimg.com/media/DAUqgoaXsAAcCf4.jpg
62,866094939549175808,
63,866086930794131456,http://pbs.twimg.com/media/DAT1d7aWsAA9X52.jpg
64,866052925403082752,
65,866071890112151552,http://pbs.twimg.com/ext_tw_video_thumb/866069259453173760/pu/img/EpTd7D3ih5j913hd.jpg
66,866028085887610880,
67,866052344387174400,
68,866047036981993472,
69,866052309809328128,http://pbs.twimg.com/media/DATV_BiXsAEBNjJ.jpg
70,866062141429776384,
71,866035724658724864,
72,866075941365309440,
73,866060217645248512,http://pbs.twimg.com/media/DATdLVkUMAAi1Ip.jpg
74,866032912847818752,
75,866031121900990464,
76,866057818847293440,
77,866035842627895296,
78,866036877207379968,http://pbs.twimg.com/media/DATH8w0XcAIXSzu.jpg
79,866030685873610752,
80,866043812531064832,
81,866039980564647936,http://pbs.twimg.com/media/DATKv1sW0AM1br0.jpg
82,866037751195607040,http://pbs.twimg.com/media/DATH8w0XcAIXSzu.jpg
83,866072833167896576,
84,866037830111432704,
