,0,1
0,434466432152510464,http://pbs.twimg.com/media/BgeI6wTIQAAax95.jpg
1,434468275591081984,
2,434469672394956800,
3,434474135020769280,
4,434477056228098048,http://pbs.twimg.com/media/Bgc9UDXIgAAJbjH.jpg
5,434464149809025024,
6,434472601529098240,http://pbs.twimg.com/media/BgSciZ9IcAEpkWT.jpg
7,434466399550177280,
8,434470255453171712,
9,434475770749399040,
10,434472004243050496,
11,434464399386877952,
12,434469776917028864,
13,434464680455573504,
14,434464875554041856,
15,434465810979909632,
16,434475582601302016,
17,434473253063888896,
18,434465696211550208,
19,434470615555518464,
20,434467804226793472,
21,434466757076852736,http://pbs.twimg.com/media/BgeJNqPIQAAq7kZ.jpg
22,434465799462346752,
23,434474571132309504,http://pbs.twimg.com/media/BgdrxvGCAAAaGCt.jpg
24,434469291312689152,
25,434465235010072576,
26,434465910234304512,
27,434464618929729536,
28,434469100757078016,
29,434471202934235136,http://pbs.twimg.com/media/Bgcr5rfCEAAXkPJ.jpg
30,434473540415676416,
31,434474371869339648,
32,434466330683908096,http://pbs.twimg.com/media/BgeI02QIIAA9fZt.jpg
33,434469219816595456,
34,434467666271928320,
35,434472256115179520,
36,434472293994356736,
37,434476772617637888,http://pbs.twimg.com/media/Bgc9UDXIgAAJbjH.jpg
38,434474181347258368,
39,434472919239229440,
40,434465253493981184,
41,434473259187572736,
42,434464618409644032,
43,434473774084538368,
44,434474715709972480,
45,434468664348536832,
46,434465211227971584,
47,434476690434043904,
48,434467560042815488,http://pbs.twimg.com/media/BgeJ8ZwIEAEcxAx.jpg
49,434467370434695168,
50,434472904823033856,
51,434473859547283456,
52,434474194047614976,
53,434472290915319808,
54,434467957427929088,http://pbs.twimg.com/media/BgeKTiNIEAAhxBz.jpg
55,434476517205086208,
56,434466073136869376,
57,434469253614292992,
58,434468346567069696,
59,434476249650450432,
60,434476536729960448,http://pbs.twimg.com/media/Bgc9UDXIgAAJbjH.jpg
61,434469113877233664,
62,434465589768105984,
63,434466765742288896,
64,434466265306906624,
65,434476289123028992,
66,434470478036484096,
67,434464586482188288,
68,434474028212813824,
69,434467116671328256,
70,434465040029478912,
71,434465348524720128,
72,434468743927066624,
73,434470637093289984,
74,434468990241767424,
75,434472331789205504,
76,434464509923971072,
77,434467357017530368,http://pbs.twimg.com/media/BgeJwlSIcAArqp4.jpg
78,434471782436057088,
79,434472958719848448,
80,434470755686813696,
81,434472504993001472,http://pbs.twimg.com/media/BgSq4MVIAAAbHrE.jpg
82,434476765873180672,
83,434470529609633792,
84,434470007775719424,
85,434476059208466432,
86,434467709510623232,
87,434476881828515840,
88,434469003847667712,
89,434471380193914880,
90,434462322481168384,
91,434460370204241920,
