username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
tharimlopez;2017-05-26 19:59;0;0;"# 24Mayo";;;#;"868255302138957824";https://twitter.com/tharimlopez/status/868255302138957824
noticiasmiami;2017-05-26 19:50;0;0;"¡IMÁGEN QUE DA LA VUELTA AL MUNDO! Un pequeño niño reprimido por los gases tóxicos de Maduro # 24Mayo -► https://goo.gl/oQu6uk";;;#;"868252982554578945";https://twitter.com/noticiasmiami/status/868252982554578945
notiwebon;2017-05-26 19:49;0;0;"¡IMÁGEN QUE DA LA VUELTA AL MUNDO! Un pequeño niño reprimido por los gases tóxicos de Maduro # 24Mayo -► https://goo.gl/oQu6uk";;;#;"868252715750707202";https://twitter.com/notiwebon/status/868252715750707202
LlaneroDigitalV;2017-05-26 19:46;3;1;"¡IMÁGEN QUE DA LA VUELTA AL MUNDO! Un pequeño niño reprimido por los gases tóxicos de Maduro # 24Mayo -► https://goo.gl/oQu6uk # MJP";;;# #;"868252134470541313";https://twitter.com/LlaneroDigitalV/status/868252134470541313
DolarToday;2017-05-26 19:42;70;14;"¡IMÁGEN QUE DA LA VUELTA AL MUNDO! Un pequeño niño reprimido por los gases tóxicos de Maduro # 24Mayo -► https://goo.gl/oQu6uk";;;#;"868251139778781184";https://twitter.com/DolarToday/status/868251139778781184
notiwebon;2017-05-26 19:39;1;0;"Ortega Díaz: Juan Pernalete fue asesinado por una bomba lacrimógena de GNB # 24Mayo # SC https://goo.gl/czzAab";;;# #;"868250228452990977";https://twitter.com/notiwebon/status/868250228452990977
LlaneroDigitalV;2017-05-26 19:36;0;0;"Ortega Díaz: Juan Pernalete fue asesinado por una bomba lacrimógena de GNB # 24Mayo # SC https://goo.gl/czzAab # MJP";;;# # #;"868249468004700161";https://twitter.com/LlaneroDigitalV/status/868249468004700161
noticiasmiami;2017-05-26 19:35;2;0;"Ortega Díaz: Juan Pernalete fue asesinado por una bomba lacrimógena de GNB # 24Mayo # SC https://goo.gl/czzAab";;;# #;"868249186118062081";https://twitter.com/noticiasmiami/status/868249186118062081
DolarToday;2017-05-26 19:30;33;1;"Ortega Díaz: Juan Pernalete fue asesinado por una bomba lacrimógena de GNB # 24Mayo # SC https://goo.gl/czzAab";;;# #;"868248077999775745";https://twitter.com/DolarToday/status/868248077999775745
HorizontePatria;2017-05-26 19:30;0;0;"¡Si te lo perdiste! # EscuchaEncuentro Popular # 24Mayo Invitado Especial el cantor Gino Gonzalez, apoyando la # ANC http://bit.ly/2r08sV9 pic.twitter.com/L3FcL6HCfc";;;# # #;"868247879860834304";https://twitter.com/HorizontePatria/status/868247879860834304
HorizontePatria;2017-05-26 19:10;0;0;"@ JauaMiranda Entrevista # 24Mayo con Amorin. "Poderes Públicos no pueden oponerse a las decisiones de la # ANC" http://goo.gl/mgos9W pic.twitter.com/Ow7VsZwL4K";;@;# #;"868242847543066624";https://twitter.com/HorizontePatria/status/868242847543066624
nigmerosquete;2017-05-26 19:07;0;0;"Resumen del # 24Mayo # felizCumpleaños a Mi.. Mi deseo tricolor.. Se rie y se canta en la… https://www.instagram.com/p/BUkstU-DZdn/";;;# #;"868242224106151937";https://twitter.com/nigmerosquete/status/868242224106151937
noticiasmiami;2017-05-26 18:45;3;1;"Ortega Díaz: Juan Pernalete fue asesinado por una bomba lacrimógena de GNB # 24Mayo # SC https://goo.gl/IUoCsi";;;# #;"868236766003822592";https://twitter.com/noticiasmiami/status/868236766003822592
notiwebon;2017-05-26 18:39;0;0;"Ortega Díaz: Juan Pernalete fue asesinado por una bomba lacrimógena de GNB # 24Mayo # SC https://goo.gl/IUoCsi";;;# #;"868235216783114240";https://twitter.com/notiwebon/status/868235216783114240
jeiqon;2017-05-26 18:37;0;0;"notiven: RT: dolartoday :Ortega Díaz: Juan Pernalete fue asesinado por una bomba lacrimógena de GNB # 24Mayo # SC https://goo.gl/IUoCsi";;;# #;"868234671607472128";https://twitter.com/jeiqon/status/868234671607472128
LlaneroDigitalV;2017-05-26 18:36;3;0;"Ortega Díaz: Juan Pernalete fue asesinado por una bomba lacrimógena de GNB # 24Mayo # SC https://goo.gl/IUoCsi # MJP";;;# # #;"868234394405933059";https://twitter.com/LlaneroDigitalV/status/868234394405933059
ElpuebloOpina2;2017-05-26 18:32;0;0;"Ortega Díaz: Juan Pernalete fue asesinado por una bomba lacrimógena de GNB # 24Mayo # SC https://goo.gl/IUoCsi";;;# #;"868233454697185280";https://twitter.com/ElpuebloOpina2/status/868233454697185280
