username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
juancgomezsmith;2017-05-29 09:05;0;0;"@ jpernalete Cada día somos más # MillonesContraLaDictadura del gobierno de Nicolás, todos nos mantendremos en pie de lucha, no desmayaremos.";;@;#;"869177894161002496";https://twitter.com/juancgomezsmith/status/869177894161002496
pabellogonzalez;2017-05-23 21:35;0;0;"# MillonesContraLaDictadura";;;#;"867192351621603328";https://twitter.com/pabellogonzalez/status/867192351621603328
juancgomezsmith;2017-05-23 16:28;0;1;"@ @ robertleon08 Cada día somos más # MillonesContraLaDictadura del gobierno de Nicolás";;@ @;#;"867114972479987713";https://twitter.com/juancgomezsmith/status/867114972479987713
mueldiaz;2017-05-23 14:55;1;0;"QUE el Mundo lo Alerta # 23May # FelizMartes # MillonesContraLaDictadura # NoMásDictadura # AtencionMedicaParaElGralVivas URBE UNIMET DICOMhttps://twitter.com/VenezuelaAnons/status/867005733694574592 …";;;# # # # #;"867091632600088576";https://twitter.com/mueldiaz/status/867091632600088576
mueldiaz;2017-05-23 14:49;0;0;"QUE el Mundo lo Grandes # 23May # FelizMartes # MillonesContraLaDictadura # NoMásDictadura # AtencionMedicaParaElGralVivas URBE UNIMET DICOMhttps://twitter.com/DolarToday/status/867087676775813120 …";;;# # # # #;"867090124202442752";https://twitter.com/mueldiaz/status/867090124202442752
mueldiaz;2017-05-23 14:48;0;0;"QUE el Mundo lo Bravo # 23May # FelizMartes # MillonesContraLaDictadura # NoMásDictadura # AtencionMedicaParaElGralVivas URBE UNIMET DICOMhttps://twitter.com/gabycastellanos/status/867081304977833986 …";;;# # # # #;"867089954995933186";https://twitter.com/mueldiaz/status/867089954995933186
mueldiaz;2017-05-23 14:47;0;0;"QUE el Mundo lo RT Masivo # 23May # FelizMartes # MillonesContraLaDictadura # NoMásDictadura # AtencionMedicaParaElGralVivas URBE UNIMET DICOMhttps://twitter.com/VenezuelaAnons/status/866800153738567680 …";;;# # # # #;"867089620936380416";https://twitter.com/mueldiaz/status/867089620936380416
mueldiaz;2017-05-23 14:28;0;0;"QUE el Mundo lo Libertad # 23May # FelizMartes # MillonesContraLaDictadura # NoMásDictadura # AtencionMedicaParaElGralVivas URBE UNIMET DICOM";;;# # # # #;"867084817757868037";https://twitter.com/mueldiaz/status/867084817757868037
mandingastars;2017-05-23 14:25;0;0;"Primera vez que coincido con Madurito, es verdad... somos milllonas y # millonescontraladictadura # noalaconstituyente # politicaala1 # 23may";;;# # # #;"867084207163666432";https://twitter.com/mandingastars/status/867084207163666432
mueldiaz;2017-05-23 14:23;0;0;"QUE el Mundo lo Libertad # 23May # FelizMartes # MillonesContraLaDictadura # NoMásDictadura # AtencionMedicaParaElGralVivas URBE UNIMET DICOMhttps://twitter.com/sntpvenezuela/status/867078976228950017 …";;;# # # # #;"867083545264754688";https://twitter.com/mueldiaz/status/867083545264754688
mueldiaz;2017-05-23 14:20;0;0;"QUE el Mundo lo Libertad # 23May # FelizMartes # MillonesContraLaDictadura # NoMásDictadura # AtencionMedicaParaElGralVivas URBE UNIMET DICOMhttps://twitter.com/Templ_x_Vzla/status/866816544613031939 …";;;# # # # #;"867082926097412096";https://twitter.com/mueldiaz/status/867082926097412096
mueldiaz;2017-05-23 14:17;0;0;"QUE el Mundo lo CDSM # 23May # FelizMartes # MillonesContraLaDictadura # NoMásDictadura # AtencionMedicaParaElGralVivas URBE UNIMET DICOMhttps://twitter.com/RChirin/status/867069438197190656 …";;;# # # # #;"867082115460063233";https://twitter.com/mueldiaz/status/867082115460063233
