,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,retweet,clean_text,language,sentiment
0,TACinforma,2016-06-09 20:39,0,0,# MaduroSaqueaAVenezuela RT @ paolucci40: [VIDEO] # ElLlanito 9-6-2016 Saqueos hoy mismo. Hay Hambre mientras # Maduro… http://ift.tt/1Z5WZL2,,@,# # #,7.410671890636923e+17,https://twitter.com/TACinforma/status/741067189063692288,# MaduroSaqueaAVenezuela RT @ paolucci40: [VIDEO] # ElLlanito 9-6-2016 Saqueos hoy mismo. Hay Hambre mientras # Maduro… http://ift.tt/1Z5WZL2, RT   VIDEO   9 6 2016 Saqueos hoy mismo  Hay Hambre mientras  ,es,0.38598504662513733
1,_carroja,2016-06-09 19:51,0,0,RT Decepticon_01: RT paolucci40: [VIDEO] # ElLlanito 9-6-2016 Saqueos hoy mismo. Hay Hambre mientras # MaduroSaqueaA…pic.twitter.com/ErPjCeoRxg,,,# #,7.410551094765855e+17,https://twitter.com/_carroja/status/741055109476585472,RT Decepticon_01: RT paolucci40: [VIDEO] # ElLlanito 9-6-2016 Saqueos hoy mismo. Hay Hambre mientras # MaduroSaqueaA…pic.twitter.com/ErPjCeoRxg,RT Decepticon_01  RT paolucci40   VIDEO   9 6 2016 Saqueos hoy mismo  Hay Hambre mientras ,es,0.38598504662513733
2,_vikyro,2016-06-09 19:48,1,1,RT Decepticon_01: RT paolucci40: [VIDEO] # ElLlanito 9-6-2016 Saqueos hoy mismo. Hay Hambre mientras # MaduroSaqueaA…pic.twitter.com/0DqGyo2FvZ,,,# #,7.410544237540024e+17,https://twitter.com/_vikyro/status/741054423754002432,RT Decepticon_01: RT paolucci40: [VIDEO] # ElLlanito 9-6-2016 Saqueos hoy mismo. Hay Hambre mientras # MaduroSaqueaA…pic.twitter.com/0DqGyo2FvZ,RT Decepticon_01  RT paolucci40   VIDEO   9 6 2016 Saqueos hoy mismo  Hay Hambre mientras ,es,0.38598504662513733
3,ColirioMediatic,2016-06-09 19:48,3,0,RT Decepticon_01: RT paolucci40: [VIDEO] # ElLlanito 9-6-2016 Saqueos hoy mismo. Hay Hambre mientras # MaduroSaqueaA…pic.twitter.com/6QrujE13D1,,,# #,7.410543375442616e+17,https://twitter.com/ColirioMediatic/status/741054337544261632,RT Decepticon_01: RT paolucci40: [VIDEO] # ElLlanito 9-6-2016 Saqueos hoy mismo. Hay Hambre mientras # MaduroSaqueaA…pic.twitter.com/6QrujE13D1,RT Decepticon_01  RT paolucci40   VIDEO   9 6 2016 Saqueos hoy mismo  Hay Hambre mientras ,es,0.38598504662513733
4,PedroVzla123,2016-06-09 19:42,0,0,# D RT Decepticon_01: RT paolucci40: [VIDEO] # ElLlanito 9-6-2016 Saqueos hoy mismo. Hay Hambre mientras # MaduroSaqu…pic.twitter.com/yxhXAtx7D8,,,# # #,7.410529620516618e+17,https://twitter.com/PedroVzla123/status/741052962051661825,# D RT Decepticon_01: RT paolucci40: [VIDEO] # ElLlanito 9-6-2016 Saqueos hoy mismo. Hay Hambre mientras # MaduroSaqu…pic.twitter.com/yxhXAtx7D8, RT Decepticon_01  RT paolucci40   VIDEO   9 6 2016 Saqueos hoy mismo  Hay Hambre mientras ,es,0.38598504662513733
5,Decepticon_01,2016-06-09 19:29,8,0,RT @ paolucci40: [VIDEO] # ElLlanito 9-6-2016 Saqueos hoy mismo. Hay Hambre mientras # MaduroSaqueaAVenezuelapic.twitter.com/9xHpxA5sGL,,@,# #,7.410497108284867e+17,https://twitter.com/Decepticon_01/status/741049710828486657,RT @ paolucci40: [VIDEO] # ElLlanito 9-6-2016 Saqueos hoy mismo. Hay Hambre mientras # MaduroSaqueaAVenezuelapic.twitter.com/9xHpxA5sGL,RT   VIDEO   9 6 2016 Saqueos hoy mismo  Hay Hambre mientras ,es,0.38598504662513733
6,elpapa_pitufox,2016-06-09 19:28,13,1,[VIDEO] # ElLlanito 9-6-2016 Saqueos hoy mismo. Hay Hambre mientras # MaduroSaqueaAVenezuelapic.twitter.com/NZmXJqHTii,,,# #,7.410493750367355e+17,https://twitter.com/elpapa_pitufox/status/741049375036735488,[VIDEO] # ElLlanito 9-6-2016 Saqueos hoy mismo. Hay Hambre mientras # MaduroSaqueaAVenezuelapic.twitter.com/NZmXJqHTii, VIDEO   9 6 2016 Saqueos hoy mismo  Hay Hambre mientras ,es,0.38598504662513733
7,dj_stone_ccs,2016-06-09 19:07,1,0,Saqueo de camion en el Elevado de Palo Verde cerca de la redoma de Petare... # paloverde # petare # elllanito https://youtu.be/Vjh6FBQ66U8,,,# # #,7.410440536770724e+17,https://twitter.com/dj_stone_ccs/status/741044053677072384,Saqueo de camion en el Elevado de Palo Verde cerca de la redoma de Petare... # paloverde # petare # elllanito https://youtu.be/Vjh6FBQ66U8,Saqueo de camion en el Elevado de Palo Verde cerca de la redoma de Petare       ,es,0.40960070490837097
8,JoemilGonzalez,2016-06-09 19:00,0,0,# 9J 4:09pm. Caos en # ElLlanito se solto el moño los colectivos atracando y disparando a ciudadanos ¿TSJ? https://twitter.com/VVperiodistas/status/740999865719742464/video/1 …,,,# #,7.410422877954376e+17,https://twitter.com/JoemilGonzalez/status/741042287795437568,# 9J 4:09pm. Caos en # ElLlanito se solto el moño los colectivos atracando y disparando a ciudadanos ¿TSJ? https://twitter.com/VVperiodistas/status/740999865719742464/video/1 …, 4 09pm  Caos en  se solto el moño los colectivos atracando y disparando a ciudadanos  TSJ  ,es,0.49547943472862244
9,jegandica,2016-06-09 18:29,0,0,Retweeted Noticias Venezuela ( @ NoticiasVenezue): # 9Jun 4:21pm # ElLlanito Saqueos ahora mismo. Caracas Vía... http://fb.me/2Vau4I7vh,,@,# #,7.410344349131489e+17,https://twitter.com/jegandica/status/741034434913148928, # 9Jun 4:21pm # ElLlanito Saqueos ahora mismo. Caracas Vía... http://fb.me/2Vau4I7vh,  4 21pm  Saqueos ahora mismo  Caracas Vía    ,es,0.5979199409484863
