,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,retweet,clean_text,language,sentiment
0,mueldiaz,2017-05-22 18:22,0,1,a darle muestras de Afecto # 22May # FelizLunes # MillonesContraLaDictadura # NoMásDictadura # MarchaPorLaSalud # AtencionMedicaParaElGralVivas,,,# # # # # #,8.667814105516237e+17,https://twitter.com/mueldiaz/status/866781410551623681,a darle muestras de Afecto # 22May # FelizLunes # MillonesContraLaDictadura # NoMásDictadura # MarchaPorLaSalud # AtencionMedicaParaElGralVivas,a darle muestras de Afecto      ,es,0.7420232892036438
1,mueldiaz,2017-05-22 18:13,0,0,que el Mundo lo Vea # 22May # FelizLunes # MillonesContraLaDictadura # NoMásDictadura # MarchaPorLaSalud # AtencionMedicaParaElGralVivas,,,# # # # # #,8.667790639979315e+17,https://twitter.com/mueldiaz/status/866779063997931520,que el Mundo lo Vea # 22May # FelizLunes # MillonesContraLaDictadura # NoMásDictadura # MarchaPorLaSalud # AtencionMedicaParaElGralVivas,que el Mundo lo Vea      ,es,0.49398165941238403
2,mueldiaz,2017-05-22 18:12,0,0,que el Mundo lo Vea # 22May # FelizLunes # MillonesContraLaDictadura # NoMásDictadura # MarchaPorLaSalud # AtencionMedicaParaElGralVivas,,,# # # # # #,8.667788965319352e+17,https://twitter.com/mueldiaz/status/866778896531935232,que el Mundo lo Vea # 22May # FelizLunes # MillonesContraLaDictadura # NoMásDictadura # MarchaPorLaSalud # AtencionMedicaParaElGralVivas,que el Mundo lo Vea      ,es,0.49398165941238403
3,mueldiaz,2017-05-22 18:12,0,0,que el Mundo lo Vea # 22May # FelizLunes # MillonesContraLaDictadura # NoMásDictadura # MarchaPorLaSalud # AtencionMedicaParaElGralVivas,,,# # # # # #,8.667787634760294e+17,https://twitter.com/mueldiaz/status/866778763476029441,que el Mundo lo Vea # 22May # FelizLunes # MillonesContraLaDictadura # NoMásDictadura # MarchaPorLaSalud # AtencionMedicaParaElGralVivas,que el Mundo lo Vea      ,es,0.49398165941238403
4,mueldiaz,2017-05-22 18:00,0,0,see this shit @ POTUS # 22May # FelizLunes # MillonesContraLaDictadura # NoMásDictadura # MarchaPorLaSalud # AtencionMedicaParaElGralVivas,,@,# # # # # #,8.667758221951427e+17,https://twitter.com/mueldiaz/status/866775822195142660,see this shit @ POTUS # 22May # FelizLunes # MillonesContraLaDictadura # NoMásDictadura # MarchaPorLaSalud # AtencionMedicaParaElGralVivas,see this shit       ,en,0.8277183175086975
5,mueldiaz,2017-05-22 17:58,1,0,que el Mundo lo VEA # 22May # FelizLunes # MillonesContraLaDictadura # NoMásDictadura # MarchaPorLaSalud # AtencionMedicaParaElGralVivas,,,# # # # # #,8.66775367159337e+17,https://twitter.com/mueldiaz/status/866775367159336960,que el Mundo lo VEA # 22May # FelizLunes # MillonesContraLaDictadura # NoMásDictadura # MarchaPorLaSalud # AtencionMedicaParaElGralVivas,que el Mundo lo VEA      ,es,0.49398165941238403
6,mueldiaz,2017-05-22 17:55,0,0,que el Mundo lo VEA # 22May # FelizLunes # MillonesContraLaDictadura # NoMásDictadura # MarchaPorLaSalud # AtencionMedicaParaElGralVivas,,,# # # # # #,8.667746376147026e+17,https://twitter.com/mueldiaz/status/866774637614702592,que el Mundo lo VEA # 22May # FelizLunes # MillonesContraLaDictadura # NoMásDictadura # MarchaPorLaSalud # AtencionMedicaParaElGralVivas,que el Mundo lo VEA      ,es,0.49398165941238403
7,mueldiaz,2017-05-22 17:54,0,0,que el Mundo lo LEA # 22May # FelizLunes # MillonesContraLaDictadura # NoMásDictadura # MarchaPorLaSalud # AtencionMedicaParaElGralVivas,,,# # # # # #,8.66774290280194e+17,https://twitter.com/mueldiaz/status/866774290280194049,que el Mundo lo LEA # 22May # FelizLunes # MillonesContraLaDictadura # NoMásDictadura # MarchaPorLaSalud # AtencionMedicaParaElGralVivas,que el Mundo lo LEA      ,es,0.4892294704914093
8,mueldiaz,2017-05-22 17:39,0,0,que el Mundo lo Vea # 22May # FelizLunes # MillonesContraLaDictadura # NoMásDictadura # MarchaPorLaSalud # AtencionMedicaParaElGralVivashttps://twitter.com/ConchaSolutions/status/866251349951950848 …,,,# # # # # #,8.667706119887258e+17,https://twitter.com/mueldiaz/status/866770611988725760,que el Mundo lo Vea # 22May # FelizLunes # MillonesContraLaDictadura # NoMásDictadura # MarchaPorLaSalud # AtencionMedicaParaElGralVivashttps://twitter.com/ConchaSolutions/status/866251349951950848 …,que el Mundo lo Vea      ,es,0.49398165941238403
9,juancgomezsmith,2017-05-22 17:34,0,0,# SomosMillonesPorElCAMBIO q se suman a la lucha y cada día son más mayoría # MillonesContraLaDictadura,,,# #,8.667693272231649e+17,https://twitter.com/juancgomezsmith/status/866769327223164928,# SomosMillonesPorElCAMBIO q se suman a la lucha y cada día son más mayoría # MillonesContraLaDictadura, q se suman a la lucha y cada día son más mayoría ,es,0.6108016967773438
10,juancgomezsmith,2017-05-22 17:31,0,0,# SomosMillonesPorElCAMBIO # MillonesContraLaDictadura # SomosMillonesEnContraElHambre 3 Etiquetas q le teme al gobierno.,,,# # #,8.667684824693678e+17,https://twitter.com/juancgomezsmith/status/866768482469367809,# SomosMillonesPorElCAMBIO # MillonesContraLaDictadura # SomosMillonesEnContraElHambre 3 Etiquetas q le teme al gobierno.,   3 Etiquetas q le teme al gobierno ,es,0.5177673101425171
11,juancgomezsmith,2017-05-22 17:29,0,0,Es realmente increible cómo 2 etiquetas le dieron la vuelta a Vzla # MillonesContraLaDictadura # SomosMillonesPorElCAMBIO el pueblo se suma,,,# #,8.66767939999064e+17,https://twitter.com/juancgomezsmith/status/866767939999064064,Es realmente increible cómo 2 etiquetas le dieron la vuelta a Vzla # MillonesContraLaDictadura # SomosMillonesPorElCAMBIO el pueblo se suma,Es realmente increible cómo 2 etiquetas le dieron la vuelta a Vzla   el pueblo se suma,es,0.5404572486877441
12,juancgomezsmith,2017-05-22 17:28,0,0,"Los # MillonesContraLaDictadura tenemos q despertar de esta pesadilla terrible q estamos viviendo los venezolanos, queremos elecciones ¡YA!",,,#,8.667677884755927e+17,https://twitter.com/juancgomezsmith/status/866767788475592705,"Los # MillonesContraLaDictadura tenemos q despertar de esta pesadilla terrible q estamos viviendo los venezolanos, queremos elecciones ¡YA!",Los  tenemos q despertar de esta pesadilla terrible q estamos viviendo los venezolanos  queremos elecciones  YA ,es,0.012994617223739624
13,juancgomezsmith,2017-05-22 17:15,0,0,Somos # MillonesContraLaDictadura Madurista a quedado desmostrado en las manifestaciones en calles.,,,#,8.667644085754593e+17,https://twitter.com/juancgomezsmith/status/866764408575459330,Somos # MillonesContraLaDictadura Madurista a quedado desmostrado en las manifestaciones en calles.,Somos  Madurista a quedado desmostrado en las manifestaciones en calles ,es,0.520388662815094
14,juancgomezsmith,2017-05-22 16:59,0,0,Cada día somos más # MillonesContraLaDictadura del gobierno de Nicolás,,,#,8.66760358828159e+17,https://twitter.com/juancgomezsmith/status/866760358828158977,Cada día somos más # MillonesContraLaDictadura del gobierno de Nicolás,Cada día somos más  del gobierno de Nicolás,es,0.6289193630218506
16,mueldiaz,2017-05-22 13:25,0,0,ALERTA! evitar daños presten atencion # 22May # FelizLunes # MillonesContraLaDictadura # LosVenezolanoQueremos # NoMásDictadura # MarchaPorLaSaludhttps://twitter.com/txapulincolorid/status/866664567526633472 …,,,# # # # # #,8.66706639524692e+17,https://twitter.com/mueldiaz/status/866706639524691970,ALERTA! evitar daños presten atencion # 22May # FelizLunes # MillonesContraLaDictadura # LosVenezolanoQueremos # NoMásDictadura # MarchaPorLaSaludhttps://twitter.com/txapulincolorid/status/866664567526633472 …,ALERTA  evitar daños presten atencion      ,es,0.5
17,mueldiaz,2017-05-22 13:23,0,0,"QEPDbasta de asesinatos, HDP GOB # 22May # FelizLunes # MillonesContraLaDictadura # LosVenezolanoQueremos # NoMásDictadura # MarchaPorLaSaludhttps://twitter.com/delgado_rondon/status/866700899598684160 …",,,# # # # # #,8.667062117014364e+17,https://twitter.com/mueldiaz/status/866706211701436416,"QEPDbasta de asesinatos, HDP GOB # 22May # FelizLunes # MillonesContraLaDictadura # LosVenezolanoQueremos # NoMásDictadura # MarchaPorLaSaludhttps://twitter.com/delgado_rondon/status/866700899598684160 …",QEPDbasta de asesinatos  HDP GOB      ,es,0.3658277988433838
18,mueldiaz,2017-05-22 13:22,1,0,ALERTA # 22May # FelizLunes # SomosMillonesPorElCAMBIO # MillonesContraLaDictadura # LosVenezolanoQueremos # NoMásDictadura # MarchaPorLaSaludhttps://twitter.com/RCamachoVzla/status/866705534237499393 …,,,# # # # # # #,8.667057608263475e+17,https://twitter.com/mueldiaz/status/866705760826347525,ALERTA # 22May # FelizLunes # SomosMillonesPorElCAMBIO # MillonesContraLaDictadura # LosVenezolanoQueremos # NoMásDictadura # MarchaPorLaSaludhttps://twitter.com/RCamachoVzla/status/866705534237499393 …,ALERTA       ,es,0.5
19,mueldiaz,2017-05-22 13:21,0,0,ATENCION # 22May # FelizLunes # SomosMillonesPorElCAMBIO # MillonesContraLaDictadura # LosVenezolanoQueremos # NoMásDictadura # MarchaPorLaSaludhttps://twitter.com/alexvzlalibre/status/866534318478413825 …,,,# # # # # # #,8.667055720072028e+17,https://twitter.com/mueldiaz/status/866705572007202817,ATENCION # 22May # FelizLunes # SomosMillonesPorElCAMBIO # MillonesContraLaDictadura # LosVenezolanoQueremos # NoMásDictadura # MarchaPorLaSaludhttps://twitter.com/alexvzlalibre/status/866534318478413825 …,ATENCION       ,es,0.5
20,mueldiaz,2017-05-22 13:20,0,0,TODA LA LEY # 22May # FelizLunes # SomosMillonesPorElCAMBIO # MillonesContraLaDictadura # LosVenezolanoQueremos # NoMásDictadura # MarchaPorLaSaludhttps://twitter.com/EAristeguieta/status/866449260283166720 …,,,# # # # # # #,8.667054289688658e+17,https://twitter.com/mueldiaz/status/866705428968865793,TODA LA LEY # 22May # FelizLunes # SomosMillonesPorElCAMBIO # MillonesContraLaDictadura # LosVenezolanoQueremos # NoMásDictadura # MarchaPorLaSaludhttps://twitter.com/EAristeguieta/status/866449260283166720 …,TODA LA LEY       ,es,0.5066896677017212
21,mueldiaz,2017-05-22 13:18,0,0,ATENCION RT # 22May # FelizLunes # SomosMillonesPorElCAMBIO # MillonesContraLaDictadura # LosVenezolanoQueremos # NoMásDictadura # MarchaPorLaSaludhttps://twitter.com/Santinovelota/status/866704400118624256 …,,,# # # # # # #,8.667047314728755e+17,https://twitter.com/mueldiaz/status/866704731472875520,ATENCION RT # 22May # FelizLunes # SomosMillonesPorElCAMBIO # MillonesContraLaDictadura # LosVenezolanoQueremos # NoMásDictadura # MarchaPorLaSaludhttps://twitter.com/Santinovelota/status/866704400118624256 …,ATENCION RT       ,es,0.5
22,mueldiaz,2017-05-22 13:17,0,0,Libertad # 22May # FelizLunes # SomosMillonesPorElCAMBIO # MillonesContraLaDictadura # LosVenezolanoQueremos # NoMásDictadura # MarchaPorLaSaludhttps://twitter.com/miriamablan/status/866704406884093952 …,,,# # # # # # #,8.667046396511969e+17,https://twitter.com/mueldiaz/status/866704639651196928,Libertad # 22May # FelizLunes # SomosMillonesPorElCAMBIO # MillonesContraLaDictadura # LosVenezolanoQueremos # NoMásDictadura # MarchaPorLaSaludhttps://twitter.com/miriamablan/status/866704406884093952 …,Libertad       ,es,0.6966290473937988
23,CpPintoc93,2017-05-21 18:24,1,0,"Carabobo en resistencia, 50 días de lucha por La Paz y democracia. Somos # MillonesContraLaDictadura # JuntosSomosMaspic.twitter.com/4JiWIUgsvA",,,# #,8.664194246597222e+17,https://twitter.com/CpPintoc93/status/866419424659722241,"Carabobo en resistencia, 50 días de lucha por La Paz y democracia. Somos # MillonesContraLaDictadura # JuntosSomosMaspic.twitter.com/4JiWIUgsvA",Carabobo en resistencia  50 días de lucha por La Paz y democracia  Somos  ,es,0.7982035875320435
28,RuthEmmanuelli,2017-05-21 11:43,0,0,Any doubt that the majority wants Maduro out? # venezuelalibre # MillonesContraLaDictadura pic.twitter.com/3Mad7bxPSg,,,# #,8.66318622758654e+17,https://twitter.com/RuthEmmanuelli/status/866318622758653953,Any doubt that the majority wants Maduro out? # venezuelalibre # MillonesContraLaDictadura pic.twitter.com/3Mad7bxPSg,Any doubt that the majority wants Maduro out    ,en,0.5
29,LizCJaramillo,2017-05-21 10:05,0,0,RT alejandrovivas: IMPORTANTE! Balance sobre jornada de hoy # MillonesContraLaDictadura https://twitter.com/hcapriles/status/866115020572250112 …,,,#,8.662937926845604e+17,https://twitter.com/LizCJaramillo/status/866293792684560384,RT alejandrovivas: IMPORTANTE! Balance sobre jornada de hoy # MillonesContraLaDictadura https://twitter.com/hcapriles/status/866115020572250112 …,RT alejandrovivas  IMPORTANTE  Balance sobre jornada de hoy  ,es,0.6989921927452087
30,trendinaliaVE,2017-05-21 09:38,0,0,@ joseolivaresm ¿Sabías que el hashtag # MillonesContraLaDictadura fue TT ayer durante 6 horas? → http://www.trendinalia.com/twitter-trending-topics/venezuela/venezuela-170520.html … @ miguelreyes_AD,,@ @,#,8.662871503204393e+17,https://twitter.com/trendinaliaVE/status/866287150320439296,@ joseolivaresm ¿Sabías que el hashtag # MillonesContraLaDictadura fue TT ayer durante 6 horas? → http://www.trendinalia.com/twitter-trending-topics/venezuela/venezuela-170520.html … @ miguelreyes_AD,  Sabías que el hashtag  fue TT ayer durante 6 horas    ,es,0.4598947763442993
31,FerchoViu,2017-05-21 09:07,0,0,RT Jose_Zavarce: Son 50 días firme en la calle resistiendo. Sin descanso seguimos demostrando que somos # millonesContraLaDictadura # cojede…,,,# #,8.662792071937638e+17,https://twitter.com/FerchoViu/status/866279207193763841,RT Jose_Zavarce: Son 50 días firme en la calle resistiendo. Sin descanso seguimos demostrando que somos # millonesContraLaDictadura # cojede…,RT Jose_Zavarce  Son 50 días firme en la calle resistiendo  Sin descanso seguimos demostrando que somos  ,es,0.6359812617301941
33,Daniboy119,2017-05-21 08:59,0,0,No da arrechera? Unos corruptos hacen la rumba mas grande que la de una princesa inglesa # MillonesContraLaDictadura,,,#,8.66277298676392e+17,https://twitter.com/Daniboy119/status/866277298676391937,No da arrechera? Unos corruptos hacen la rumba mas grande que la de una princesa inglesa # MillonesContraLaDictadura,No da arrechera  Unos corruptos hacen la rumba mas grande que la de una princesa inglesa ,es,0.6902487277984619
34,JuanCmg12,2017-05-21 08:17,0,0,@ maximo_sanchez Por ellos y por todos los hijos de Venezuela continuamos en la calle hasta recobrar la democracia # MillonesContraLaDictadura pic.twitter.com/I58vtYDk6Q,,@,#,8.662667685532549e+17,https://twitter.com/JuanCmg12/status/866266768553254912,@ maximo_sanchez Por ellos y por todos los hijos de Venezuela continuamos en la calle hasta recobrar la democracia # MillonesContraLaDictadura pic.twitter.com/I58vtYDk6Q, Por ellos y por todos los hijos de Venezuela continuamos en la calle hasta recobrar la democracia  ,es,0.5426731109619141
40,mandingastars,2017-05-21 07:24,1,0,"El hombre es LIBERTAD, los dicen los grandes y así debemos sentirlo... # millonescontraladictadura # felizdomingo la lucha sigue...",,,# #,8.662533052484362e+17,https://twitter.com/mandingastars/status/866253305248436225,"El hombre es LIBERTAD, los dicen los grandes y así debemos sentirlo... # millonescontraladictadura # felizdomingo la lucha sigue...",El hombre es LIBERTAD  los dicen los grandes y así debemos sentirlo      la lucha sigue   ,es,0.9474732279777527
43,CesarJOropeza,2017-05-21 01:03,0,0,RT alejandrovivas: IMPORTANTE!!! Balance sobre jornada de hoy # MillonesContraLaDictadura # 20May https://twitter.com/hcapriles/status/866115020572250112 … Vía Pr1meroJusticia,,,# #,8.661575904845373e+17,https://twitter.com/CesarJOropeza/status/866157590484537344,RT alejandrovivas: IMPORTANTE!!! Balance sobre jornada de hoy # MillonesContraLaDictadura # 20May https://twitter.com/hcapriles/status/866115020572250112 … Vía Pr1meroJusticia,RT alejandrovivas  IMPORTANTE    Balance sobre jornada de hoy   ,es,0.6989921927452087
44,CaraboboLegisla,2017-05-21 00:20,0,0,RT BiagioPilieri: Hoy somos # MillonesContraLaDictadura que no estamos dispuestos a rendirnos ni a entregarle el país a este Régimen # 20Ma…,,,# #,8.661465368535613e+17,https://twitter.com/CaraboboLegisla/status/866146536853561344,RT BiagioPilieri: Hoy somos # MillonesContraLaDictadura que no estamos dispuestos a rendirnos ni a entregarle el país a este Régimen # 20Ma…,RT BiagioPilieri  Hoy somos  que no estamos dispuestos a rendirnos ni a entregarle el país a este Régimen ,es,0.4269216060638428
45,FrenchyGober,2017-05-21 00:16,1,2,¡VAMOS VZLA! # SomosMillonesPorElCAMBIO. Estaremos en las calles los días que hagan falta hasta lograr la LIBERTAD # MillonesContraLaDictadura pic.twitter.com/yyjCjKimP1,,,# #,8.661455616861798e+17,https://twitter.com/FrenchyGober/status/866145561686179840,¡VAMOS VZLA! # SomosMillonesPorElCAMBIO. Estaremos en las calles los días que hagan falta hasta lograr la LIBERTAD # MillonesContraLaDictadura pic.twitter.com/yyjCjKimP1, VAMOS VZLA   Estaremos en las calles los días que hagan falta hasta lograr la LIBERTAD  ,es,0.7251484394073486
46,frvargas64,2017-05-20 23:59,0,0,No hay Constituyente. # venezuelaenlacalle # MillonesContraLaDictadura http://www.caraotadigital.net/nacionales/iris-varela-con-oposicion-o-sin-oposicion-la-constituyente-va/ …,,,# #,8.661413167108792e+17,https://twitter.com/frvargas64/status/866141316710879232,No hay Constituyente. # venezuelaenlacalle # MillonesContraLaDictadura http://www.caraotadigital.net/nacionales/iris-varela-con-oposicion-o-sin-oposicion-la-constituyente-va/ …,No hay Constituyente    ,es,0.40046530961990356
47,caro_carvallo,2017-05-20 23:58,0,0,"Al cumplir 50 día de protestas, oposición asegura que seguirá la agenda de calle. # MillonesContraLaDictadura # 20Mpic.twitter.com/UJnfmF4Wjo",,,# #,8.661410816704963e+17,https://twitter.com/caro_carvallo/status/866141081670496256,"Al cumplir 50 día de protestas, oposición asegura que seguirá la agenda de calle. # MillonesContraLaDictadura # 20Mpic.twitter.com/UJnfmF4Wjo",Al cumplir 50 día de protestas  oposición asegura que seguirá la agenda de calle   ,es,0.34928882122039795
