username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
fran0506;2019-02-22 18:57;0;1;"Si así estuvo el día de hoy, como sera mañana que es el gran día # 23F # Venezuela";;;# #;"1099095851434151936";https://twitter.com/fran0506/status/1099095851434151936
antjgo;2019-02-22 18:46;0;2;"Esta noche será larga para los uniformados y decisiva para su futuro, último llamado será mañana a que se pongan del lado correcto # VenezuelaAidLive # Venezuela # AyudaHumanitaria # 23F @ marcorubio";;@;# # # #;"1099093000213463040";https://twitter.com/antjgo/status/1099093000213463040
liarclothingve;2019-02-22 18:40;0;0;"Pampatar  T-shirt Dale like Etiqueta a un amigo . . . . # moda # 23f # ucv # compras # comprasonline # franelas # ptolacruz # lentes # ventas # ventasonline # tiendavirtual # tiendaonline # venezuela # caracas # valencia # carabobo # maracaibo # zulia # barqu… https://ift.tt/2Sn3Y50 pic.twitter.com/pzJqnXjx0f";;;# # # # # # # # # # # # # # # # # # #;"1099091668387672065";https://twitter.com/liarclothingve/status/1099091668387672065
JesusMendozaJ;2019-02-22 18:39;0;0;"El día de mañana # 23F será un día muy movido para # Venezuela e histórico tambien, el # Mundo nos obrserva, no estamos solos, # LosBuenosSomosMas Venezuela huele a # Libertad";;;# # # # #;"1099091306717040640";https://twitter.com/JesusMendozaJ/status/1099091306717040640
csancheznieto;2019-02-22 18:15;1;5;"Venezuela y sus contradicciones, nunca aprendieron la diferencia de las palabras "Estado" y "Gobierno" no entienden nada, pretenden cambiar un país que ni conocen. # Venezuela @VenezuelaAidLive Faltan horas para que se acabe el concierto, mañana # 23F se viene el show político.";;@VenezuelaAidLive;# #;"1099085399505330176";https://twitter.com/csancheznieto/status/1099085399505330176
IsaCNN;2019-02-22 17:58;0;0;"Juan Guaido has appeared at a crowd near an aid concert in Cúcuta despite # Venezuela’s supreme court imposing a travel ban on him in January. # 23F";;;# #;"1099081036359704576";https://twitter.com/IsaCNN/status/1099081036359704576
jgamorin;2019-02-22 17:00;41;76;"En pleno # VenezuelaAidLive y a horas del # 23F con la entrada de # AyudaHumanitaria, ya tenemos que lamentar la represión de Maduro y su Dictadura 2 muertos y 15 heridos por intentar mantener abierto un lugar de paso entre # Venezuela y Brasil Y pensar que acá aún tiene cómplices pic.twitter.com/a1pY5ltuyz";;;# # # #;"1099066397022437376";https://twitter.com/jgamorin/status/1099066397022437376
AVOZCRUDA;2019-02-22 16:57;0;2;"# VenezuelaAidLive # 22Feb # AidLiveVenezuela # ConciertoPorLaPazYLaVida # AyudaVenezuela # Venezuela # VenezuelaAidLife # VenezuelAidLive # 23F https://twitter.com/AVOZCRUDA/status/1099020606526377984 …";;;# # # # # # # # #;"1099065736939610113";https://twitter.com/AVOZCRUDA/status/1099065736939610113
dccontreras85;2019-02-22 16:17;0;2;"# Repost @ ederalexander • • • • • • # Repost # Venezuela # 22F # 23F @ vzlarrechate_ with get_repost ・・・ Esto con HONOR AL 23F. Si hay algún Guardia Nacional que pueda ver esto, recuerda: TODOS… https://www.instagram.com/p/BuMt_KHFQs2/?utm_source=ig_twitter_share&igshid=10r6z2mwwuudc …";;@ @;# # # # #;"1099055674724573184";https://twitter.com/dccontreras85/status/1099055674724573184
PaulSfeir;2019-02-22 16:10;4;10;"Gracias # Colombia por ser como tal vez nosotros nunca fuimos con ustedes... Viva Colombia. Viva # Venezuela # VenezuelaAidLive # 23F";;;# # # #;"1099053796402122752";https://twitter.com/PaulSfeir/status/1099053796402122752
knuthf;2019-02-22 16:09;0;0;"On the eve of # 23F # AyudaHumanitaria sharing my interview in @ ElMercurio_cl:-How can the # EU help # Venezuela in the transation?-assuming as own the roadmap of the President @ jguaido and collaborating in everything that is in his hand, as...https://twitter.com/beatrizbecerrab/status/1098950257801605121 …";;@ @;# # # #;"1099053607255789569";https://twitter.com/knuthf/status/1099053607255789569
DannyPerdomo;2019-02-22 15:50;1;6;"# Venezuela, tu estas en Pie de Lucha. En # Dominicana oramos por ti, de rodillas ante # Dios. No Están Solos!!!! # 23F # VenezuelaLibre # MADUROCONOETUMADRE # VenezuelaLiveAidpic.twitter.com/MnFezXXSEU";;;# # # # # # #;"1099048716579803137";https://twitter.com/DannyPerdomo/status/1099048716579803137
josecriollo28;2019-02-22 15:42;0;1;"Mientras tanto del lado chavista pasa esto.... ¿DÓNDE ESTÁ LA GENTE? # 22Feb # 23F # VenezuelaAidLive # EnVivo # Venezuela # CucutaTambienEs # cucuta # AyudaHumanitaria # AyudaVenezuela # ColombiaSeMueveACucuta # HandsOffVenezuelapic.twitter.com/kW3JgRhEio";;;# # # # # # # # # # #;"1099046754639593474";https://twitter.com/josecriollo28/status/1099046754639593474
Edu_Enduro;2019-02-22 15:39;24;19;"# MiguelBose en # AidVenezuela: "Aaaaaltiiiiisima Comisionada @ mbachelet; ven de una puñetera vez a # Venezuela!!! # BacheletMueveTusNalgas a ver las violaciones a los # DDHH de lo contrario NO SIRVES!!!" ... Mejor dicho IM-PO-SI-BLE!!! # 23F # VenezuelaAidLivehttps://youtu.be/tkP6ebAd1q4";;@;# # # # # # #;"1099045961437986818";https://twitter.com/Edu_Enduro/status/1099045961437986818
LeandroOubina;2019-02-22 15:34;0;1;"# VenezuelaAidLive # Venezuela # 23F # 23FAvalanchaHumanitariahttps://twitter.com/charlybaires10/status/1098972406159429632 …";;;# # # #;"1099044765268463616";https://twitter.com/LeandroOubina/status/1099044765268463616
QuijoteOPS;2019-02-22 15:22;0;0;"# 22FEB MADURO COÑO E' TU MADRE # VenezuelaAidLive # 23FVzlaALosCuartelesEnPaz # AvalanchaHumanitaria # VENEZUELA # EstamosUnidosVE # 23F";;;# # # # # # #;"1099041869227573253";https://twitter.com/QuijoteOPS/status/1099041869227573253
ReynAndara;2019-02-22 15:06;0;0;"Tumban señal canal # antena3 que impide a # Venezuela ver el concierto por # ayudahumanitaria # SanJuanDeLosMorros Estado # Guárico # 23F 2019 https://www.instagram.com/p/BuMmaWQHftz/?utm_source=ig_twitter_share&igshid=1xn3w9rexphwn …";;;# # # # # #;"1099037853575712769";https://twitter.com/ReynAndara/status/1099037853575712769
ElInformadorVE;2019-02-22 15:06;1;3;"# 22F # EnVivo Al ritmo de los tambores del tema "Viva Venezuela" llegó a la tarima del # VenezuelaAidLive Carlos Baute ( @ carlosbaute) quien hizo un llamado a aportar para la # AyudaHumanitaria que aseguró entrará el # 23F a Venezuela de la mano de los venezolanos # Venezuela pic.twitter.com/uiwd27m0JE";;@;# # # # # #;"1099037741822693381";https://twitter.com/ElInformadorVE/status/1099037741822693381
JOSEISEAB;2019-02-22 15:00;0;0;". QUÉ NOMBRE LE PONDRÍAN A ESTA BANDA ?? ELLOS VAN AL FESTIVAL DE MADURO COMENTARIOS ? # Libertad # VenezuelaLibre # Cucuta # 23F # VamosBien # Venezuela # Colombia # AidVenezuela # Concierto… https://www.instagram.com/p/BuKcSqnlgzQ/?utm_source=ig_twitter_share&igshid=1ivhvmus7sttb …";;;# # # # # # # # #;"1099036280552214528";https://twitter.com/JOSEISEAB/status/1099036280552214528
LasNoticiasFl;2019-02-22 15:00;0;0;"# 23F # ayudahumanitaria # venezuelaaidlive Emotiva participación del orador mexicano @ danielhabif ¡Gracias México! Gracias Daniel vía vnzla3color video cortesía @ vpitv # venezuela # Mexico en… https://www.instagram.com/p/BuMlgM8FHJp/?utm_source=ig_twitter_share&igshid=i05w29yda3hl …";;@ @;# # # # #;"1099036254019047424";https://twitter.com/LasNoticiasFl/status/1099036254019047424
JOSEISEAB;2019-02-22 14:59;0;0;". QUÉ NOMBRE LE PONDRÍAN A ESTA BANDA ?? ELLOS VAN AL FESTIVAL DE MADURO COMENTARIOS ? # Libertad # VenezuelaLibre # Cucuta # 23F # VamosBien # Venezuela # Colombia # AidVenezuela # Concierto… https://www.instagram.com/p/BuKcSqnlgzQ/?utm_source=ig_twitter_share&igshid=qvwee0vsrv5l …";;;# # # # # # # # #;"1099035934543282176";https://twitter.com/JOSEISEAB/status/1099035934543282176
NatyLopezG;2019-02-22 14:57;42;58;"AHORA: "Michelle Bachelet, mueve tus nalgas y ven de una puñetera vez", dice Miguel Bosé en el Venezuela Aid Live reclamando su cargo de alta comisionada de DDHH de la ONU @ T13 @ Tele13_Radio # AlertaT13 # VenezuelaAidLive # Venezuela # 23F";;@ @;# # # #;"1099035380848840704";https://twitter.com/NatyLopezG/status/1099035380848840704
Edu_Enduro;2019-02-22 14:55;62;58;"# MiguelBose en # AidVenezuela: "Aaaaaltiiiiisima Comisionada @ mbachelet; ven de una puñetera vez a # Venezuela!!!... Mueve tus nalgas a ver las violaciones a los # DDHH de lo contrario NO SIRVES!!!" ... Mejor dicho IM-PO-SI-BLE!!! # 23F # VenezuelaAidLive";;@;# # # # # #;"1099034949481611264";https://twitter.com/Edu_Enduro/status/1099034949481611264
AlejandroPerna;2019-02-22 14:33;0;0;"Presente @ yokoikenji # yokoikenjidiaz # yokoikenji # japon # Colombia # venezuela # venezuelaporelmundo # venezolanosenelmundo # 23favalanchahumanitaria # 23f en Cúcuta, Norte de… https://www.instagram.com/p/BuMiObUHZHm/?utm_source=ig_twitter_share&igshid=x2krjb4wl2j8 …";;@;# # # # # # # # #;"1099029386412609536";https://twitter.com/AlejandroPerna/status/1099029386412609536
correiadriano;2019-02-22 14:32;0;0;"Este # 23F te esperamos en la # PuertaDeSol # Madrid En la lucha por la libertad de nuestra # Venezuela. La entrada de la # AyudaHumanitaria es un paso fundamental para la reconstrucción de nuestro paíspic.twitter.com/qg7FGtpRwQ";;;# # # # #;"1099029283475988481";https://twitter.com/correiadriano/status/1099029283475988481
MoisEscobar;2019-02-22 14:30;4;2;"# VenezuelaAidLive tiene la capacidad de atraer la atención mediática mundial sobre todo lo que está aconteciendo en # Venezuela, pero esencialmente es una antesala mediática al ingreso de la Ayuda Humanitaria del # 23F.";;;# # #;"1099028791186329602";https://twitter.com/MoisEscobar/status/1099028791186329602
dgamboav;2019-02-22 14:25;0;0;"# 23F # AvalanchaHumanitaria # Venezuela # Cucuta # Colombia # Brasil https://www.instagram.com/dgamboav/p/BuMht0jliUUR0-_r_n33IMzw4lXhOeTR8_Ap9o0/?utm_source=ig_twitter_share&igshid=1xvq35fvd2hxh …";;;# # # # # #;"1099027529115959296";https://twitter.com/dgamboav/status/1099027529115959296
manuelmacani;2019-02-22 14:25;0;0;"# venezuelalibre # vamosbien # 23f # venezuelaaidlive # Venezuela https://www.instagram.com/p/BuMhrNhgbIN/?utm_source=ig_twitter_share&igshid=2iscgvs7mtuc …";;;# # # # #;"1099027437051011072";https://twitter.com/manuelmacani/status/1099027437051011072
CarlosAlvarez92;2019-02-22 14:19;1;2;"# 22Feb | Modo # VenezuelaAidLive # Venezuela # No # Estas # Sola ¡ # VamosBien! Este # 23F # DejaPasarLaAyudaHumanitaria pic.twitter.com/51hhHpMikv";;;# # # # # # # # #;"1099026019871326208";https://twitter.com/CarlosAlvarez92/status/1099026019871326208
ernesmusica;2019-02-22 14:07;0;0;"Sobran las palabras # 23f # ayudahumanitaria # venezuela # venezuelaquierecambio # venezuelalibre # mundo # fueramaduro # artista # cantante # compositor # madurocoñoetumadre https://www.instagram.com/p/BuMflqIF3m_/?utm_source=ig_twitter_share&igshid=c3il7qtuq13y …";;;# # # # # # # # # # #;"1099022848222420992";https://twitter.com/ernesmusica/status/1099022848222420992
Arepados;2019-02-22 14:06;0;0;"# 22f y # 23f desde las # 8am asta las # 7pm en # paseoherencia # apoyo # mundial # por # la # ayudahumanitaria # y # recollecion # por # venezuela de # insumos y # medicinas # venezuela # venezuelalibre… https://www.instagram.com/p/BuMeYeWhnzr/?utm_source=ig_twitter_share&igshid=10iyyqmrd2p1u …";;;# # # # # # # # # # # # # # # # # #;"1099022706459189248";https://twitter.com/Arepados/status/1099022706459189248
El_Econ;2019-02-22 14:03;2;1;"Hambre de conflicto Por Patricio DellaGiovanna Gaíta https://eleconomista.com.ar/2019-02-hambre-de-conflicto/ … # Venezuela # 23F pic.twitter.com/YtF6pgXWnz";;;# #;"1099021971499765760";https://twitter.com/El_Econ/status/1099021971499765760
evebruler;2019-02-22 13:59;14;12;"Te espero el # 23F en La Plaza España en Santa Cruz de Tenerife a las 18:00 por # AyudaHumanitaria para # venezuela @ CsScTfe @ UCVE2009pic.twitter.com/nNeylPLovb";;@ @;# # #;"1099020810340188160";https://twitter.com/evebruler/status/1099020810340188160
juanpadelahoz;2019-02-22 13:56;1;4;""Maduro es parte del problema y no de la solución" Muy bien @ sebastianpinera # VenezuelaGritaLibertad # venezuelaaidlive # vamosbien # venezuela # venezolanos # 23f @ jguaido @ Guarequenapic.twitter.com/hyWcBqnweV";;@ @ @;# # # # # #;"1099020163175862272";https://twitter.com/juanpadelahoz/status/1099020163175862272
