,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,sentiment,len
0,fran0506,2019-02-22 18:57:00,0,1,"Si así estuvo el día de hoy, como sera mañana que es el gran día # 23F # Venezuela",,,# #,1099095851434151936,https://twitter.com/fran0506/status/1099095851434151936,0.6357643905089345,82
1,antjgo,2019-02-22 18:46:00,0,2,"Esta noche será larga para los uniformados y decisiva para su futuro, último llamado será mañana a que se pongan del lado correcto # VenezuelaAidLive # Venezuela # AyudaHumanitaria # 23F @ marcorubio",,@,# # # #,1099093000213463040,https://twitter.com/antjgo/status/1099093000213463040,0.5762108283227589,199
2,liarclothingve,2019-02-22 18:40:00,0,0,Pampatar  T-shirt Dale like Etiqueta a un amigo . . . . # moda # 23f # ucv # compras # comprasonline # franelas # ptolacruz # lentes # ventas # ventasonline # tiendavirtual # tiendaonline # venezuela # caracas # valencia # carabobo # maracaibo # zulia # barqu… https://ift.tt/2Sn3Y50 pic.twitter.com/pzJqnXjx0f,,,# # # # # # # # # # # # # # # # # # #,1099091668387672065,https://twitter.com/liarclothingve/status/1099091668387672065,0.3292308501681854,310
3,JesusMendozaJ,2019-02-22 18:39:00,0,0,"El día de mañana # 23F será un día muy movido para # Venezuela e histórico tambien, el # Mundo nos obrserva, no estamos solos, # LosBuenosSomosMas Venezuela huele a # Libertad",,,# # # # #,1099091306717040640,https://twitter.com/JesusMendozaJ/status/1099091306717040640,0.6851891046975968,175
4,csancheznieto,2019-02-22 18:15:00,1,5,"Venezuela y sus contradicciones, nunca aprendieron la diferencia de las palabras Estado"" y ""Gobierno"" no entienden nada, pretenden cambiar un país que ni conocen. # Venezuela @VenezuelaAidLive Faltan horas para que se acabe el concierto, mañana # 23F se viene el show político.""",,@VenezuelaAidLive,# #,1099085399505330176,https://twitter.com/csancheznieto/status/1099085399505330176,0.06204572392500744,278
5,IsaCNN,2019-02-22 17:58:00,0,0,Juan Guaido has appeared at a crowd near an aid concert in Cúcuta despite # Venezuela’s supreme court imposing a travel ban on him in January. # 23F,,,# #,1099081036359704576,https://twitter.com/IsaCNN/status/1099081036359704576,0.029748657581727015,148
6,jgamorin,2019-02-22 17:00:00,41,76,"En pleno # VenezuelaAidLive y a horas del # 23F con la entrada de # AyudaHumanitaria, ya tenemos que lamentar la represión de Maduro y su Dictadura 2 muertos y 15 heridos por intentar mantener abierto un lugar de paso entre # Venezuela y Brasil Y pensar que acá aún tiene cómplices pic.twitter.com/a1pY5ltuyz",,,# # # #,1099066397022437376,https://twitter.com/jgamorin/status/1099066397022437376,0.10656987871876755,308
7,AVOZCRUDA,2019-02-22 16:57:00,0,2,# VenezuelaAidLive # 22Feb # AidLiveVenezuela # ConciertoPorLaPazYLaVida # AyudaVenezuela # Venezuela # VenezuelaAidLife # VenezuelAidLive # 23F https://twitter.com/AVOZCRUDA/status/1099020606526377984 …,,,# # # # # # # # #,1099065736939610113,https://twitter.com/AVOZCRUDA/status/1099065736939610113,0.22203591094667305,203
8,dccontreras85,2019-02-22 16:17:00,0,2,"# Repost @ ederalexander • • • • • • # Repost # Venezuela # 22F # 23F @ vzlarrechate_ with get_repost ・・・ Esto con HONOR AL 23F. Si hay algún Guardia Nacional que pueda ver esto, recuerda: TODOS… https://www.instagram.com/p/BuMt_KHFQs2/?utm_source=ig_twitter_share&igshid=10r6z2mwwuudc …",,@ @,# # # # #,1099055674724573184,https://twitter.com/dccontreras85/status/1099055674724573184,0.2753408009339712,287
9,PaulSfeir,2019-02-22 16:10:00,4,10,Gracias # Colombia por ser como tal vez nosotros nunca fuimos con ustedes... Viva Colombia. Viva # Venezuela # VenezuelaAidLive # 23F,,,# # # #,1099053796402122752,https://twitter.com/PaulSfeir/status/1099053796402122752,0.4552686585455459,133
10,knuthf,2019-02-22 16:09:00,0,0,"On the eve of # 23F # AyudaHumanitaria sharing my interview in @ ElMercurio_cl:-How can the # EU help # Venezuela in the transation?-assuming as own the roadmap of the President @ jguaido and collaborating in everything that is in his hand, as...https://twitter.com/beatrizbecerrab/status/1098950257801605121 …",,@ @,# # # #,1099053607255789569,https://twitter.com/knuthf/status/1099053607255789569,0.04022453507334948,310
11,DannyPerdomo,2019-02-22 15:50:00,1,6,"# Venezuela, tu estas en Pie de Lucha. En # Dominicana oramos por ti, de rodillas ante # Dios. No Están Solos!!!! # 23F # VenezuelaLibre # MADUROCONOETUMADRE # VenezuelaLiveAidpic.twitter.com/MnFezXXSEU",,,# # # # # # #,1099048716579803137,https://twitter.com/DannyPerdomo/status/1099048716579803137,0.43960019480199464,202
12,josecriollo28,2019-02-22 15:42:00,0,1,Mientras tanto del lado chavista pasa esto.... ¿DÓNDE ESTÁ LA GENTE? # 22Feb # 23F # VenezuelaAidLive # EnVivo # Venezuela # CucutaTambienEs # cucuta # AyudaHumanitaria # AyudaVenezuela # ColombiaSeMueveACucuta # HandsOffVenezuelapic.twitter.com/kW3JgRhEio,,,# # # # # # # # # # #,1099046754639593474,https://twitter.com/josecriollo28/status/1099046754639593474,0.06485075736417764,256
